heldout,train_experiments,method,representation,n_real_train_windows,n_aug,n_aug_positive,n_aug_negative,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330D,TS0330A+TS0330B,classical_classmatched,fusion_shape,82,18,8,10,32,7,0.7657142857142856,0.6249007936507937,0.5555555555555556,0.7371428571428571
TS0330D,TS0330A+TS0330B,racdiff,temperature,82,18,8,10,32,7,1.0,1.0,0.7368421052631579,0.9
TS0330D,TS0330A+TS0330B,racdiff,pressure_absolute,82,18,8,10,32,7,0.4971428571428571,0.4868055555555555,0.4444444444444444,0.6428571428571428
TS0330D,TS0330A+TS0330B,racdiff,pressure_shape,82,18,8,10,32,7,0.3199999999999999,0.2067833674688513,0.1428571428571428,0.4514285714285714
TS0330D,TS0330A+TS0330B,racdiff,fusion_absolute,82,18,8,10,32,7,1.0,1.0,0.25,0.5714285714285714
TS0330D,TS0330A+TS0330B,racdiff,fusion_shape,82,18,8,10,32,7,0.7657142857142857,0.6094714809000523,0.6,0.7885714285714285
TS0330D,TS0330E+TS0330F,real_only,temperature,72,0,0,0,32,7,1.0,1.0,0.7,0.88
TS0330D,TS0330E+TS0330F,real_only,pressure_absolute,72,0,0,0,32,7,0.88,0.7339412688152185,0.5263157894736842,0.7171428571428571
TS0330D,TS0330E+TS0330F,real_only,pressure_shape,72,0,0,0,32,7,0.8342857142857143,0.5744588744588744,0.5384615384615384,0.76
TS0330D,TS0330E+TS0330F,real_only,fusion_absolute,72,0,0,0,32,7,1.0,1.0,0.8235294117647058,0.94
TS0330D,TS0330E+TS0330F,real_only,fusion_shape,72,0,0,0,32,7,1.0,1.0,0.6666666666666666,0.86
TS0330D,TS0330E+TS0330F,classical_classmatched,temperature,72,19,3,16,32,7,1.0,1.0,0.7,0.88
TS0330D,TS0330E+TS0330F,classical_classmatched,pressure_absolute,72,19,3,16,32,7,0.9542857142857144,0.8687074829931972,0.358974358974359,0.5
TS0330D,TS0330E+TS0330F,classical_classmatched,pressure_shape,72,19,3,16,32,7,0.7485714285714284,0.4566457352171638,0.4827586206896552,0.7
TS0330D,TS0330E+TS0330F,classical_classmatched,fusion_absolute,72,19,3,16,32,7,1.0,1.0,0.8235294117647058,0.94
TS0330D,TS0330E+TS0330F,classical_classmatched,fusion_shape,72,19,3,16,32,7,1.0,1.0,0.6666666666666666,0.86
TS0330D,TS0330E+TS0330F,racdiff,temperature,72,19,3,16,32,7,1.0,1.0,0.6666666666666666,0.86
TS0330D,TS0330E+TS0330F,racdiff,pressure_absolute,72,19,3,16,32,7,0.6457142857142857,0.3444083694083694,0.0,0.5
TS0330D,TS0330E+TS0330F,racdiff,pressure_shape,72,19,3,16,32,7,0.7542857142857142,0.4648532140128779,0.5185185185185185,0.74
TS0330D,TS0330E+TS0330F,racdiff,fusion_absolute,72,19,3,16,32,7,1.0,1.0,0.7777777777777778,0.92
TS0330D,TS0330E+TS0330F,racdiff,fusion_shape,72,19,3,16,32,7,1.0,1.0,0.6363636363636364,0.8400000000000001
